*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
Bar  Xi_c*0          4314 2.6438          0       0        0   3       0     374
Bar  anti-Xi_c*0    -4314 2.6438          0       0        0   3       0       0
Bar  Xi'_c+          4322 2.55            0       0        3   1       0     345
Bar  anti-Xi'_c-    -4322 2.55            0       0       -3   1       0       0
Bar  Xi_c*+          4324 2.64            0       0        3   3       0     375
Bar  anti-Xi_c*-    -4324 2.64            0       0       -3   3       0       0
Bar  Omega_c0        4332 2.704           0       0        0   1   0.019     346
Bar  anti-Omeg_c0   -4332 2.704           0       0        0   1   0.019       0
Bar  Omega_c*0       4334 2.8             0       0        0   3       0     376
Bar  anti-Omg_c*0   -4334 2.8             0       0        0   3       0       0
*
* Bottom barions
*
Bar  Sigma_b-        5112 5.80            0       0       -3   1       0     351
Bar  anti-Sigm_b+   -5112 5.80            0       0        3   1       0       0
Bar  Sigma_b*-       5114 5.81            0       0       -3   3       0     381
Bar  ant-Sigm_b*+   -5114 5.81            0       0        3   3       0       0
Bar  Lambda_b0       5122 5.641           0       0        0   1   0.321     322
Bar  anti-Lmbd_b0   -5122 5.641           0       0        0   1   0.321       0
Bar  Xi_b-           5132 5.84            0       0       -3   1    0.40     324
Bar  anti-Xi_b+     -5132 5.84            0       0        3   1    0.40       0
Bar  Sigma_b0        5212 5.80            0       0        0   1       0     352
Bar  anti-Sigm_b0   -5212 5.80            0       0        0   1       0       0
Bar  Sigma_b*0       5214 5.81            0       0        0   3       0     382
Bar  anti-Sgm_b*0   -5214 5.81            0       0        0   3       0       0
Bar  Sigma_b+        5222 5.80            0       0        3   1       0     353
Bar  anti-Sigm_b-   -5222 5.80            0       0       -3   1       0       0
Bar  Sigma_b*+       5224 5.81            0       0        3   3       0     383
Bar  anti-Sgm_b*-   -5224 5.81            0       0       -3   3       0       0
Bar  Xi_b0           5232 5.84            0       0        0   1    0.40     325
Bar  anti-Xi_b0     -5232 5.84            0       0        0   1    0.40       0
Bar  Xi'_b-          5312 5.96            0       0       -3   1       0     354
Bar  anti-Xi'_b+    -5312 5.96            0       0        3   1       0       0
Bar  Xi_b*-          5314 5.97            0       0       -3   3       0     384
Bar  anti-Xi_b*+    -5314 5.97            0       0        3   3       0       0
Bar  Xi'_b0          5322 5.96            0       0        0   1       0     355
Bar  anti-Xi'_b0    -5322 5.96            0       0        0   1       0       0
Bar  Xi_b*0          5324 5.97            0       0        0   3       0     385
